start,consumption,hour,dow,month,is_weekend,ctx_mean,ctx_zscore,iso_score,ensemble_score,anomaly_type,severity
2016-01-07 21:00:00,14074,21,3,1,0,11364.561538461538,2.4868123017084076,-0.02939722745719575,0.7314516458596061,SPIKE,CRITICAL
2016-01-07 22:00:00,13643,22,3,1,0,10945.690476190477,2.5141401943996557,-0.02449744711189461,0.7256396706169721,SPIKE,CRITICAL
2016-01-07 23:00:00,13369,23,3,1,0,10576.33076923077,2.543295725062671,-0.021969334589620693,0.7249181251928792,SPIKE,CRITICAL
2016-01-08 00:00:00,13142,0,4,1,0,10323.603053435114,2.5724847066744947,-0.009060438493239897,0.7031308358623872,SPIKE,CRITICAL
2016-01-08 01:00:00,13111,1,4,1,0,10325.824,2.5338325729841866,-0.0021306967449337133,0.6832184980377294,SPIKE,CRITICAL
2016-01-08 02:00:00,13213,2,4,1,0,10357.259541984733,2.5350058196106104,-0.00555300998591135,0.6903425351555292,SPIKE,CRITICAL
2016-01-08 03:00:00,13602,3,4,1,0,10767.448818897637,2.519187418404104,-0.020275000917281627,0.7178324245203166,SPIKE,CRITICAL
2016-01-08 04:00:00,14414,4,4,1,0,11576.496062992126,2.449012578682051,-0.0418897151298,0.7510912752826537,SPIKE,CRITICAL
2016-01-08 05:00:00,14631,5,4,1,0,11949.178294573643,2.2850500414236112,-0.025776984002301773,0.6935852752745856,SPIKE,CRITICAL
2016-01-08 06:00:00,14802,6,4,1,0,12182.68992248062,2.267945074818662,-0.02864732218677324,0.6968242039299335,SPIKE,CRITICAL
2016-01-08 07:00:00,14750,7,4,1,0,12117.317460317461,2.3751516501952348,-0.024718552510229808,0.7050654192848771,SPIKE,CRITICAL
2016-01-08 08:00:00,14676,8,4,1,0,12020.192307692309,2.3421822081843704,-0.02492984742619153,0.7005074306866674,SPIKE,CRITICAL
2016-01-08 09:00:00,14650,9,4,1,0,12037.1015625,2.3727872722448424,-0.03111105110327328,0.717683214933611,SPIKE,CRITICAL
2016-01-08 10:00:00,14553,10,4,1,0,12005.0390625,2.2842341011156675,-0.028802972224645562,0.6996039768180795,SPIKE,CRITICAL
2016-01-08 11:00:00,14374,11,4,1,0,11955.417322834646,2.2436667101814303,-0.03678758390890979,0.7096749374041758,SPIKE,CRITICAL
2016-01-08 12:00:00,14213,12,4,1,0,11890.108527131782,2.1944905304566786,-0.038082622989969894,0.7048653317905731,SPIKE,CRITICAL
2016-01-08 13:00:00,14239,13,4,1,0,11962.44,2.205424756268593,-0.030639145847356608,0.6914105241921383,SPIKE,CRITICAL
2016-01-08 14:00:00,14421,14,4,1,0,12154.8203125,2.1710234267751622,-0.039652521351489556,0.7045023211401107,SPIKE,CRITICAL
2016-01-08 15:00:00,14457,15,4,1,0,12287.376,2.0747830948616026,-0.03973184396197771,0.6901062649518315,SPIKE,CRITICAL
2016-01-08 16:00:00,14399,16,4,1,0,12221.1953125,2.0600013301073266,-0.038677410626950626,0.6857301358212949,SPIKE,CRITICAL
2016-01-08 17:00:00,14358,17,4,1,0,12211.346153846154,2.0082238048907777,-0.04447148983041549,0.6896591609796381,SPIKE,CRITICAL
2016-01-08 18:00:00,14011,18,4,1,0,12049.166666666666,1.8522687466022545,-0.04886044921495636,0.6749784639883152,SPIKE,HIGH
2016-01-08 19:00:00,13515,19,4,1,0,11537.469230769231,1.8752633785239072,-0.04980197297557276,0.6803676675753779,SPIKE,CRITICAL
2016-01-08 20:00:00,13499,20,4,1,0,11598.4375,1.8005071216360005,-0.03353940000262168,0.6360506320720476,SPIKE,HIGH
2016-01-08 21:00:00,13223,21,4,1,0,11364.561538461538,1.7057363338297356,-0.029385118811002364,0.6132835315611553,SPIKE,MEDIUM
2016-01-08 22:00:00,12729,22,4,1,0,10945.690476190477,1.6622082535537157,-0.036641413923482746,0.6214283367163319,SPIKE,MEDIUM
2016-01-08 23:00:00,12340,23,4,1,0,10576.33076923077,1.6061810563238201,-0.030926637491021647,0.6013540152153843,SPIKE,MEDIUM
2016-01-09 00:00:00,12151,0,5,1,1,10289.980392156862,1.9925511298488205,-0.03845531178220907,0.6750769786396935,SPIKE,HIGH
2016-01-09 01:00:00,12056,1,5,1,1,10159.557692307691,1.9964815642896143,-0.03860527759935661,0.6759758850292709,SPIKE,HIGH
2016-01-09 02:00:00,11957,2,5,1,1,10147.867924528302,1.9148091574203776,-0.04474414852058095,0.676082942041339,SPIKE,HIGH
2016-01-09 03:00:00,12070,3,5,1,1,10293.94,1.885561226034302,-0.04867383304403117,0.6796354070467086,SPIKE,CRITICAL
2016-01-09 04:00:00,12286,4,5,1,1,10461.0,1.8946324613928507,-0.051416640034794514,0.6865748190409439,SPIKE,CRITICAL
2016-01-09 05:00:00,12327,5,5,1,1,10573.68,1.8867636010052775,-0.04397868317521503,0.6702871101336909,SPIKE,HIGH
2016-01-09 06:00:00,12718,6,5,1,1,10798.865384615385,1.9948472883156716,-0.05020072345505999,0.6992650007954209,SPIKE,CRITICAL
2016-01-09 07:00:00,12846,7,5,1,1,10903.156862745098,2.067869517955072,-0.04985317101886366,0.7096046966844218,SPIKE,CRITICAL
2016-01-09 08:00:00,12971,8,5,1,1,11031.627450980392,2.013838528231368,-0.045321716202494255,0.6922342099581464,SPIKE,CRITICAL
2016-01-09 09:00:00,13019,9,5,1,1,11117.823529411764,1.9893875893165527,-0.0454461849361516,0.6887884693093906,SPIKE,CRITICAL
2016-01-09 10:00:00,12935,10,5,1,1,11128.711538461539,2.0092380311749514,-0.042570871709451175,0.6859547158719927,SPIKE,CRITICAL
2016-01-09 11:00:00,12876,11,5,1,1,11090.02,1.9721587567422352,-0.0384547645714437,0.671991370158403,SPIKE,HIGH
2016-01-09 12:00:00,12839,12,5,1,1,11071.32,1.9988751508790443,-0.041412036550365516,0.6820350620998975,SPIKE,CRITICAL
2016-01-09 13:00:00,12972,13,5,1,1,11191.372549019608,2.0218145602359843,-0.038535799233942014,0.6796666622116079,SPIKE,CRITICAL
2016-01-09 14:00:00,13416,14,5,1,1,11546.588235294117,2.0428996220415696,-0.047797694581681816,0.7016556305170948,SPIKE,CRITICAL
2016-01-09 15:00:00,13537,15,5,1,1,11802.21568627451,1.8122554611219377,-0.034921148294759785,0.6406323135240573,CONTEXTUAL,HIGH
2016-01-09 16:00:00,13640,16,5,1,1,11884.096153846154,1.8564205287047248,-0.03061154373665187,0.638565018436501,CONTEXTUAL,HIGH
2016-01-09 17:00:00,13553,17,5,1,1,11859.78,1.8075554633093065,-0.03207433086361511,0.6341429643655871,CONTEXTUAL,HIGH
2016-01-09 18:00:00,13214,18,5,1,1,11565.38,1.7841079880766613,-0.04585650810812958,0.6585712758881608,CONTEXTUAL,HIGH
2016-01-09 19:00:00,12788,19,5,1,1,11092.207547169812,1.8598278956856265,-0.03787490257165527,0.6538234961532251,SPIKE,HIGH
2016-01-09 20:00:00,12909,20,5,1,1,11348.14,1.733004740077938,-0.02452772222489219,0.607548588654238,CONTEXTUAL,MEDIUM
2016-01-09 21:00:00,12825,21,5,1,1,11182.372549019608,1.770334436709554,-0.015163191647559193,0.5941869581500222,CONTEXTUAL,MEDIUM
2016-01-09 22:00:00,12440,22,5,1,1,10804.68,1.7658796072509808,-0.01517418946252358,0.5935354553836492,SPIKE,MEDIUM
2016-01-09 23:00:00,12142,23,5,1,1,10460.372549019608,1.7887725801315526,-0.014195811136884395,0.5950122855401789,SPIKE,MEDIUM
2016-01-10 00:00:00,11915,0,6,1,1,10289.980392156862,1.7398713275176043,-0.011681630190363501,0.5825123505705541,SPIKE,MEDIUM
2016-01-10 12:00:00,12649,12,6,1,1,11071.32,1.7840250203876553,-0.0036891427203975535,0.5729678585795506,CONTEXTUAL,MEDIUM
2016-01-10 13:00:00,12821,13,6,1,1,11191.372549019608,1.8503615151717052,-0.005800203439926821,0.587286754179082,CONTEXTUAL,MEDIUM
2016-01-10 14:00:00,13261,14,6,1,1,11546.588235294117,1.8735150876149007,-0.021054328147321333,0.6217515632132851,CONTEXTUAL,MEDIUM
2016-01-10 15:00:00,13310,15,6,1,1,11802.21568627451,1.575118206409721,-0.020080786605203405,0.5746407363846907,CONTEXTUAL,MEDIUM
2016-01-16 06:00:00,12653,6,5,1,1,10798.865384615385,1.9272829430628335,-0.0052313384558342335,0.5977670148929181,SPIKE,MEDIUM
2016-01-16 07:00:00,12724,7,5,1,1,10903.156862745098,1.9380185401005388,0.0055669710013041,0.5774725604228883,SPIKE,MEDIUM
2016-01-16 14:00:00,13304,14,5,1,1,11546.588235294117,1.9205056358752024,-0.016916483135222316,0.6204602787370844,SPIKE,MEDIUM
2016-01-16 15:00:00,13643,15,5,1,1,11802.21568627451,1.9229891571549553,-0.011441866362533415,0.6097236111151402,SPIKE,MEDIUM
2016-01-16 16:00:00,13738,16,5,1,1,11884.096153846154,1.9600305368561182,-0.009444574589888788,0.6112723131641882,SPIKE,MEDIUM
